t,c_pitch_vel_ref,waist_pos_ref,wheel_vel_ref
0.27,0.021213134430727056,0.0,18.0
0.272,0.027727203943758615,0.0,18.0
0.274,0.035345066666666716,0.0,18.0
0.276,0.04411690521262009,0.0,18.0
0.278,0.05408550096021955,0.0,18.0
0.28,0.06528645833333342,0.0,18.0
0.28200000000000003,0.07774842908093291,0.0,18.0
0.28400000000000003,0.09149333655692742,0.0,18.0
0.28600000000000003,0.10653660000000015,0.0,18.0
0.28800000000000003,0.12288735881344323,0.0,18.0
0.29,0.1405486968449928,0.0,18.0
0.292,0.15951786666666634,0.0,18.0
0.294,0.17978651385459501,0.0,18.0
0.296,0.20134090126886112,0.0,18.0
0.298,0.22416213333333299,0.0,18.0
0.3,0.24822638031550034,0.0,18.0
0.302,0.27350510260630956,0.0,18.0
0.304,0.2999652749999996,0.0,18.0
0.306,0.32756961097393644,0.0,18.0
0.308,0.35627678696844967,0.0,18.0
0.31,0.3860416666666663,0.0,18.0
0.312,0.416815525274348,0.0,18.0
0.314,0.4485462737997252,0.0,18.0
0.316,0.4811786833333329,0.0,18.0
0.318,0.514654609327846,0.0,18.0
0.32,0.5489132158779146,0.0,18.0
0.322,0.5838911999999997,0.0,18.0
0.324,0.6195230159122082,0.0,18.0
0.326,0.6557410993141287,0.0,18.0
0.328,0.6924760916666663,0.0,18.0
0.33,0.7296570644718788,0.0,18.0
0.332,0.7672117435528119,0.0,18.0
0.334,0.8050667333333332,0.0,18.0
0.336,0.8431477411179698,0.0,18.0
0.338,0.8813798013717421,0.0,18.0
0.34,0.9196874999999997,0.0,18.0
0.342,0.9579951986282578,0.0,18.0
0.34400000000000003,0.9962272588820302,0.0,18.0
0.34600000000000003,1.0343082666666668,0.0,18.0
0.34800000000000003,1.0721632564471881,0.0,18.0
0.35000000000000003,1.109717935528121,0.0,18.0
0.352,1.1468989083333327,0.0,18.0
0.354,1.1836339006858694,0.0,18.0
0.356,1.2198519840877906,0.0,18.0
0.358,1.255483799999999,0.0,18.0
0.36,1.2904617841220842,0.0,18.0
0.362,1.3247203906721523,0.0,18.0
0.364,1.3581963166666657,0.0,18.0
0.366,1.3908287262002743,0.0,18.0
0.368,1.422559474725651,0.0,18.0
0.37,1.4533333333333325,0.0,18.0
0.372,1.4830982130315493,0.0,18.0
0.374,1.5118053890260625,0.0,18.0
0.376,1.5394097249999992,0.0,18.0
0.378,1.5658698973936886,0.0,18.0
0.38,1.5911486196844984,0.0,18.0
0.382,1.6152128666666654,0.0,18.0
0.384,1.6380340987311377,0.0,18.0
0.386,1.6595884861454049,0.0,18.0
0.388,1.679857133333335,0.0,18.0
0.39,1.698826303155007,0.0,18.0
0.392,1.7164876411865562,0.0,18.0
0.394,1.7328384000000001,0.0,18.0
0.396,1.7478816634430716,0.0,18.0
0.398,1.7616265709190668,0.0,18.0
0.4,1.7740885416666667,0.0,18.0
0.402,1.7852894990397823,0.0,18.0
0.404,1.7952580947873797,0.0,18.0
0.406,1.8040299333333336,0.0,18.0
0.40800000000000003,1.8116477960562423,0.0,18.0
0.41000000000000003,1.8181618655692708,0.0,18.0
0.41200000000000003,1.8236299500000017,0.0,18.0
0.41400000000000003,1.828117707270235,0.0,18.0
0.41600000000000004,1.8316988693758554,0.0,18.0
0.418,1.834455466666665,0.0,18.0
0.42,1.8364780521262032,0.0,18.0
0.422,1.8378659256515772,0.0,18.0
0.424,1.8387273583333328,0.0,18.0
0.426,1.8391798167352544,0.0,18.0
0.428,1.8393501871742142,0.0,18.0
0.43,1.839375000000001,0.0,18.0
0.432,0.0,0.599998883420625,0.0
0.434,0.0,0.5999911344599999,0.0
0.436,0.0,0.599970304336875,0.0
0.438,0.0,0.59993014272,0.0
0.44,0.0,0.599864595703125,0.0
0.442,0.0,0.59976780378,0.0
0.444,0.0,0.599634099819375,0.0
0.446,0.0,0.59945800704,0.0
0.448,0.0,0.5992342369856251,0.0
0.45,0.0,0.5989576875,0.0
0.452,0.0,0.598623440701875,0.0
0.454,0.0,0.5982267609599999,0.0
0.456,0.0,0.597763092868125,0.0
0.458,0.0,0.59722805922,0.0
0.46,0.0,0.596617458984375,0.0
0.462,0.0,0.5959272652800001,0.0
0.464,0.0,0.595153623350625,0.0
0.466,0.0,0.59429284854,0.0
0.468,0.0,0.5933414242668751,0.0
0.47000000000000003,0.0,0.5922959999999999,0.0
0.47200000000000003,0.0,0.591153389233125,0.0
0.47400000000000003,0.0,0.5899105674599999,0.0
0.47600000000000003,0.0,0.588564670149375,0.0
0.47800000000000004,0.0,0.58711299072,0.0
0.48,0.0,0.585552978515625,0.0
0.482,0.0,0.5838822367800001,0.0
0.484,0.0,0.5820985206318751,0.0
0.486,0.0,0.58019973504,0.0
0.488,0.0,0.5781839327981251,0.0
0.49,0.0,0.5760493125,0.0
0.492,0.0,0.573794216514375,0.0
0.494,0.0,0.5714171289600001,0.0
0.496,0.0,0.5689166736806252,0.0
0.498,0.0,0.5662916122200001,0.0
0.5,0.0,0.5635408417968751,0.0
0.502,0.0,0.5606633932800001,0.0
0.504,0.0,0.5576584291631251,0.0
0.506,0.0,0.55452524154,0.0
0.508,0.0,0.551263250079375,0.0
0.51,0.0,0.5478720000000001,0.0
0.512,0.0,0.5443511600456251,0.0
0.514,0.0,0.5407005204600002,0.0
0.516,0.0,0.5369199909618751,0.0
0.518,0.0,0.5330095987200001,0.0
0.52,0.0,0.5289694863281251,0.0
0.522,0.0,0.5247999097800001,0.0
0.524,0.0,0.5205012364443752,0.0
0.526,0.0,0.5160739430400002,0.0
0.528,0.0,0.5115186136106252,0.0
0.53,0.0,0.5068359375000002,0.0
0.532,0.0,0.5020267073268752,0.0
0.534,0.0,0.4970918169600002,0.0
0.536,0.0,0.49203225949312523,0.0
0.538,0.0,0.4868491252200003,0.0
0.54,0.0,0.48154359960937526,0.0
0.542,0.0,0.4761169612800003,0.0
0.544,0.0,0.47057057997562535,0.0
0.546,0.0,0.46490591454000024,0.0
0.548,0.0,0.45912451089187534,0.0
0.55,0.0,0.45322800000000035,0.0
0.552,0.0,0.4472180958581254,0.0
0.554,0.0,0.44109659346000035,0.0
0.556,0.0,0.4348653667743753,0.0
0.558,0.0,0.42852636672000033,0.0
0.56,0.0,0.4220816191406253,0.0
0.562,0.0,0.4155332227800004,0.0
0.5640000000000001,0.0,0.4088833472568754,0.0
0.5660000000000001,0.0,0.4021342310400004,0.0
0.5680000000000001,0.0,0.39528817942312544,0.0
0.5700000000000001,0.0,0.3883475625000004,0.0
0.5720000000000001,0.0,0.38131481313937543,0.0
0.5740000000000001,0.0,0.37419242496000044,0.0
0.5760000000000001,0.0,0.36698295030562544,0.0
0.578,0.0,0.3596889982200009,0.0
0.58,0.0,0.3523132324218759,0.0
